filename,color_palette
plant_690569358_o.jpg,"[(84, 68, 74), (154, 134, 141), (164, 144, 151), (171, 154, 164), (141, 238, 166)]"
obra-de-arte-contemporaneo_4672865443_o.jpg,"[(152, 149, 138), (60, 55, 45), (220, 208, 220), (92, 61, 71), (89, 80, 57)]"
geh_531220551_o.jpg,"[(129, 96, 73), (39, 35, 28), (225, 220, 235), (135, 131, 127), (107, 100, 127)]"
3696350525_955176f74b_o.jpg,"[(219, 210, 197), (23, 36, 28), (98, 70, 60), (119, 117, 115), (124, 120, 57)]"
olinka-muy-sonriente-en-el-funeral_4961495895_o.jpg,"[(48, 46, 44), (211, 208, 182), (163, 166, 146), (137, 126, 102), (143, 143, 157)]"
-_3559411717_o.jpg,"[(75, 84, 72), (228, 234, 230), (143, 151, 130), (165, 186, 167), (141, 166, 175)]"
library_1511325784_o.jpg,"[(73, 61, 58), (202, 194, 178), (145, 137, 120), (163, 169, 171), (166, 166, 145)]"
0580_3430301965_o.jpg,"[(69, 52, 50), (212, 195, 159), (156, 129, 113), (175, 168, 158), (137, 139, 175)]"
3430301561_697d3d2d20_o.jpg,"[(220, 209, 200), (37, 45, 31), (119, 111, 100), (139, 162, 147), (127, 132, 155)]"
dan-flavin-en-la-coleccion-jumex_4694141825_o.jpg,"[(113, 135, 115), (222, 234, 231), (179, 193, 188), (40, 54, 20), (179, 196, 179)]"
el-metro_4264221408_o.jpg,"[(55, 46, 37), (208, 203, 174), (128, 123, 86), (154, 157, 126), (152, 148, 148)]"
smell_4958432899_o.jpg,"[(30, 29, 40), (198, 196, 159), (103, 119, 164), (139, 158, 150), (115, 107, 86)]"
vestibulo-del-centro-cultural-tlatelolco_4226009157_o.jpg,"[(106, 104, 85), (238, 230, 239), (22, 22, 17), (161, 157, 182), (177, 182, 205)]"
focus-dyptich_2476799101_o.jpg,"[(85, 100, 89), (202, 213, 211), (12, 14, 14), (162, 181, 176), (155, 171, 172)]"
porch_1363342571_o.jpg,"[(173, 171, 172), (27, 26, 34), (95, 96, 98), (79, 46, 52), (127, 105, 62)]"
ojos-de-vidrio-fino_3495406757_o.jpg,"[(35, 18, 25), (224, 225, 219), (132, 55, 41), (203, 174, 43), (140, 140, 133)]"
mi-ventana_5426718030_o.jpg,"[(220, 219, 180), (25, 16, 17), (106, 96, 63), (139, 140, 85), (137, 129, 100)]"
proyeccin-en-el-centro-cultural-tlatelolco_4226009319_o.jpg,"[(38, 34, 27), (212, 218, 221), (139, 156, 153), (110, 105, 92), (123, 139, 140)]"
television-en-el-macg_5425160257_o.jpg,"[(29, 29, 31), (174, 176, 181), (103, 109, 108), (131, 140, 140), (132, 132, 148)]"
what-are-pics-made-of_2500406723_o.jpg,"[(131, 110, 102), (11, 6, 9), (187, 192, 171), (182, 166, 146), (156, 166, 166)]"
peatones-en-una-calle-del-centro-histrico-de-la-ciudad-de-mxico_3819874202_o.jpg,"[(38, 39, 40), (220, 178, 142), (115, 108, 106), (134, 155, 167), (105, 132, 152)]"
peatones-en-una-calle-del-centro-histrico-de-la-ciudad-de-mxico_3844477342_o.jpg,"[(38, 39, 39), (219, 178, 142), (114, 108, 106), (134, 155, 167), (106, 132, 153)]"
objetos-en-la-casa_4788953082_o.jpg,"[(13, 24, 12), (169, 249, 215), (103, 224, 153), (155, 80, 38), (72, 132, 152)]"
bolero_4895784057_o.jpg,"[(136, 130, 124), (47, 38, 38), (219, 219, 216), (206, 196, 170), (187, 196, 175)]"
warehouse_675429286_o.jpg,"[(35, 37, 39), (220, 204, 197), (110, 97, 97), (145, 159, 178), (126, 140, 163)]"
